Company,SiteId,ProductSku,BracketSku
100116065|Fastenal WI021,siteId=100101313,productSku=63135,63135[1]
100116065|Fastenal WI021,siteId=100101313,productSku=63164,63164[2]
100116065|Fastenal WI021,siteId=100101313,productSku=987654,987654[1]
100116065|Fastenal WI021,siteId=100101313,productSku=High price item,High price item[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0201452,0201452[25]
100116065|Fastenal WI021,siteId=100113777,productSku=0202187,0202187[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0225008,0225008[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0225010,0225010[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0225011,0225011[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0227155,0227155[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0227156,0227156[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0227157,0227157[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0227158,0227158[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0227159,0227159[4]
100116065|Fastenal WI021,siteId=100113777,productSku=0240170,0240170[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0266159,0266159[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0266166,0266166[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0326414,0326414[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0326415,0326415[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0812433,0812433[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0812434,0812434[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0813443,0813443[1]
100116065|Fastenal WI021,siteId=100113777,productSku=0853835,0853835[2]
100116065|Fastenal WI021,siteId=100113777,productSku=1000180,1000180[1]
100116065|Fastenal WI021,siteId=100113777,productSku=1000803,1000803[1]
100116065|Fastenal WI021,siteId=100113777,productSku=1003017,1003017[1]
100116065|Fastenal WI021,siteId=100113777,productSku=1008341,1008341[1]
100116065|Fastenal WI021,siteId=100113777,productSku=10325-16897,10325-16897[1]
100116065|Fastenal WI021,siteId=100113777,productSku=10325-18069,10325-18069[1]
